Pulse,Dim.1,Dim.2
SI,8.62355,4.0094085
SI,8.689703,4.0769544
SI,8.727986,4.141915
SI,8.93493,4.20696
SI,5.0080276,4.0621176
SI,8.856361,4.1440973
SI,9.530919,0.33192086
SI,10.297143,0.3857995
SI,6.2011323,3.4879384
SI,5.6620564,3.7709508
SI,6.934911,3.182327
SI,8.61118,4.055438
SI,7.363374,2.5379133
SI,5.42447,3.72866
SI,9.4608135,0.22424555
SI,9.287695,0.1667577
SI,9.454534,0.23690304
SI,9.4304,0.20636615
SI,9.451191,0.23690808
SI,9.622025,0.30545443
SI,10.290072,0.47933754
SI,7.868382,1.3353112
SI,8.629735,1.860517
SI,10.813857,-0.42582265
SI,8.476301,1.4747714
SI,9.582752,0.94068295
SI,9.893303,-1.4475826
SI,7.2579217,0.41430256
SI,8.506154,1.0431986
SI,8.883334,1.4209299
SI,6.5237393,1.5179222
SI,9.593467,1.9318343
SI,8.742117,1.7408953
SI,9.005648,1.3825064
SI,8.876698,1.7636204
SI,9.572197,1.0407835
SI,8.858902,-0.3838232
SI,9.536271,-0.6219043
SI,10.711137,-0.33031586
SI,11.294549,-0.7586592
SI,6.41481,2.9904087
SI,5.146804,3.8283548
SI,6.16254,3.2275465
SI,6.417706,3.0121756
SI,6.7023807,2.7797585
SI,6.6931057,2.7320132
SI,7.800108,2.9822438
SI,9.709566,-0.6138612
SI,8.310647,-0.50318754
SI,4.6535087,4.2541842
SI,5.6528406,3.124088
SI,5.480503,4.104477
SI,5.9270988,4.3444295
SI,6.3709373,4.39446
SI,7.676328,0.87643856
SI,5.5094295,3.2785518
SI,5.7592163,2.9336476
SI,8.495478,-0.28653684
SI,8.433765,-0.23310784
SI,8.339689,1.2373099
SI,-0.24514498,5.3281174
SI,8.057142,4.308741
SI,7.776898,4.710964
SI,9.090275,2.336818
SI,8.693641,5.24983
SI,6.5728416,4.748609
SI,7.355723,0.34357968
SI,11.109626,-1.3727671
SI,10.854159,-1.4818052
SI,11.049365,-0.51164937
SI,10.906418,0.001537248
SI,10.912528,-0.15717258
SI,10.878459,-0.11384633
SI,9.80783,1.6249194
SI,9.568846,0.85575014
SI,8.250522,1.241387
SI,8.288045,1.7183298
SI,8.139681,1.3179623
SI,9.07645,0.559499
SI,9.216326,0.8866097
SI,9.517199,1.5338554
SI,9.436125,1.4219694
SI,9.202644,1.0132521
SI,8.497618,0.09925467
SI,8.505698,0.043893017
SI,8.480029,0.028967176
SI,8.474413,0.13178599
SI,7.726692,4.739165
SI,7.882138,4.4868245
SI,6.034639,4.928063
SI,6.0698686,4.927552
SI,6.0379663,4.9135
SI,3.420127,4.794469
SI,8.796537,0.000658966
SI,7.988154,4.393684
SI,7.9183106,4.5043426
SI,7.681084,4.646765
SI,9.439308,2.3001308
SI,8.742742,4.577
SI,7.2317853,5.2039604
SI,7.206674,5.1944118
SI,6.911552,5.181333
SI,7.1607814,5.1947813
SI,7.3509965,4.1364083
SI,6.975751,5.200139
SI,6.9888444,5.1339736
SI,7.2038198,5.1767073
SI,7.2511654,5.2264605
SI,8.914601,4.7928605
SI,9.189732,4.2919207
SI,8.889021,4.8909035
SI,8.797834,5.15831
SI,8.630138,5.2636724
SI,8.715792,5.243564
SI,8.899738,4.78487
SI,8.940647,4.593138
SI,8.763256,5.2074504
SI,8.590607,4.002881
SI,8.782133,5.1751604
SI,7.776842,4.941168
SI,5.950814,4.9771967
SI,6.0204515,4.9531116
SI,8.446417,3.8593712
SI,7.533463,5.0743637
SI,6.8594604,5.231082
SI,6.692329,5.3086014
SI,8.701816,4.578704
SI,8.720071,4.5594277
SI,8.716754,4.609345
SI,8.71641,5.230613
SI,7.58356,4.67263
SI,8.827821,1.8700378
SI,7.1759114,4.596515
SI,3.1717837,5.0951166
SI,7.5041428,2.361567
SI,9.927009,0.24122095
SI,7.547359,2.362456
SI,10.169174,0.335697
SI,11.054489,2.0807078
SI,11.11719,2.389821
SI,11.150537,2.36084
SI,11.044825,2.4485362
SI,4.706474,4.1917253
SI,7.631532,2.4414947
SI,7.624295,2.4423878
SI,7.8493805,2.3323836
SI,8.645205,2.39799
SI,10.026248,1.3715322
SI,10.129992,1.424002
SI,9.576515,1.205037
SI,8.816678,0.8927686
SI,8.555229,0.99026823
SI,8.400067,0.97381765
SI,8.052797,-0.14591369
SI,7.9901886,-0.14135145
SI,7.8337803,0.119820915
SI,8.042753,-0.085095175
SI,4.462815,4.401249
SI,4.3234143,4.530825
SI,-0.27588257,5.293699
SI,8.254352,-0.33972883
SI,8.297564,-0.36355886
SI,9.314702,-0.6037132
SI,9.705257,-0.56940675
SI,10.879173,0.068547174
SI,10.672985,2.3643723
SI,10.526747,2.3291576
SI,9.868304,1.5231023
SI,10.919194,0.08519127
SI,7.8163786,0.34141207
SI,8.074722,2.0314076
SI,8.313258,2.2321622
SI,9.008059,2.5051653
SI,9.2999525,2.6544988
SI,8.722288,2.458971
SI,8.259638,-0.25480127
SI,9.562767,-0.734692
SI,9.544252,-0.746488
SI,9.651174,-0.69328284
SI,9.69655,-0.67796034
SI,9.661446,-0.7413305
SI,9.621574,-0.7367966
SI,9.929405,-1.3881385
SI,9.584895,-0.760461
SI,9.4788475,1.0647558
SI,10.657831,-0.3848865
SI,10.43508,-1.5489086
SI,10.256976,-1.5519129
SI,10.238771,-1.5406876
SI,10.058316,-1.5800543
SI,9.999719,-1.521157
SI,10.014639,0.29987726
SI,8.698222,0.79662746
SI,9.257595,1.6113408
SI,8.192147,1.4061319
SI,8.741779,3.325678
SI,9.007688,3.0926056
SI,9.190671,2.944668
SI,10.168025,3.1025677
SI,10.117817,3.0618114
SI,9.874466,1.582664
SI,9.68074,-0.14716472
SI,10.072046,0.14154951
SI,10.562151,0.62777036
SI,10.593715,0.60701275
