New.Pulse,Cluster_Typical,Clip.Name,affinity.id,Pulse.Type,Source.Name,Selection,Tonal,Begin.Time.s,End.Time.s,Low.Freq.Hz,High.Freq.Hz,Begin.File,Male_ID,meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5..Hz,Freq.95..Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50..Hz,BW.90..Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50..s,Dur.90..s,Freq.25..Hz,Freq.75..Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz.ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz.ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz.ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25..Rel.,Time.5..Rel.,Time.75..Rel.,Time.95..Rel.,Freq_IQR,Time_IQR,F0_min,F0_max
S,2,2013-07-01 064026_MZ000066-WODAN_LC_WE_30.WAV,616,IN,2013-07-01 064026_MZ000066-WODAN_LC_WE.txt,30,y,51.48562344,52.46772109,50,1000,2013-07-01 064026_MZ000066-WODAN_LC_WE.WAV,WODAN,0.2,0.13,3.14,13.73,0.81,0.85,0.69,0.18,0.13,0.08,0.25,0.17,1,0.25,0.08,-0.18,0.18,0.98,91.51,263.76,5.09,3.35,107.66,172.25,150.72,0.35,0.28,0.61,113.04,220.7,123.81,-0.19,258.38,0,75.36,-3.42,0,0.31,0.21,0.1,0.5,0.74,107.66,0.29,0.08,0.24
R,1,2013-07-05 050858_MZ000072-BOBO_LC_WE_9.WAV,152,HU,2013-07-05 050858_MZ000072-BOBO_LC_WE.txt,9,p,36.38264633,38.27262646,200,1500,2013-07-05 050858_MZ000072-BOBO_LC_WE.WAV,BOBO,0.73,0.22,2.61,11.47,0.92,0.86,0.79,0.48,0.57,0.21,1.15,0.94,6.86,0.24,0.3,0.03,0.73,1.89,285.29,866.63,6.85,4.97,339.12,581.34,619.02,0.85,0.68,1.6,392.95,732.06,769.74,0.21,979.67,40.32,226.08,-31.19,20,0.64,0.59,0.12,0.95,0.98,339.12,0.36,0.23,1.5
S,2,2013-07-05 050858_MZ000072-BOBO_LC_WE_18.WAV,616,SI,2013-07-05 050858_MZ000072-BOBO_LC_WE.txt,18,y,50.74516957,51.5244,50,1000,2013-07-05 050858_MZ000072-BOBO_LC_WE.WAV,BOBO,0.31,0.18,2.01,7.32,0.9,0.85,0.77,0.44,0.23,0.06,0.88,0.82,6.17,0.32,0.13,-0.23,0.21,0.78,183.02,425.24,5.29,4.94,75.36,242.23,236.84,0.22,0.06,0.21,215.31,290.67,220.7,-0.12,322.97,12.17,59.21,-13.31,7,0.22,0.18,0.13,0.25,0.4,75.36,0.07,0.06,0.3
R,1,2013-07-05 054816_MZ000074-BOBO_LC_WE_13.WAV,16,HR,2013-07-05 054816_MZ000074-BOBO_LC_WE.txt,13,y,24.58627052,25.79417941,50,900,2013-07-05 054816_MZ000074-BOBO_LC_WE.WAV,BOBO,0.49,0.19,3.28,15.21,0.87,0.85,0.74,0.34,0.38,0.21,0.54,0.33,2.97,0.21,0.27,0.05,0.37,1.21,231.46,635.17,5.81,3.49,145.34,403.71,366.03,0.7,0.57,1.02,279.91,425.24,274.52,0.06,436.01,4.18,204.55,-6.09,4,0.89,0.4,0.07,0.88,0.93,145.34,0.48,0.21,0.44
R,1,2013-07-05 054816_MZ000074-BOBO_LC_WE_17.WAV,16,VO,2013-07-05 054816_MZ000074-BOBO_LC_WE.txt,17,y,32.38774322,33.77514782,95,950,2013-07-05 054816_MZ000074-BOBO_LC_WE.WAV,BOBO,0.66,0.11,2.47,9.38,0.85,0.85,0.72,0.21,0.61,0.22,0.81,0.59,2.22,0.22,0.29,0.05,0.65,1.39,333.73,748.21,5.66,3.69,59.21,414.48,651.32,0.79,0.65,1.12,624.41,683.62,651.32,0.28,802.04,27.01,215.31,-19.4,7,0.86,0.37,0.12,0.85,0.94,59.21,0.47,0.18,0.8
R,1,2013-07-05 054816_MZ000074-BOBO_LC_WE_19.WAV,16,LR,2013-07-05 054816_MZ000074-BOBO_LC_WE.txt,19,y,37.7428431,39.0098847,95,950,2013-07-05 054816_MZ000074-BOBO_LC_WE.WAV,BOBO,0.5,0.19,4.27,24.66,0.84,0.85,0.71,0.29,0.38,0.21,0.61,0.4,2.22,0.39,0.61,0.17,0.36,1.27,231.46,764.36,5.65,3.25,64.59,532.9,387.56,0.65,0.62,1.1,355.27,419.86,392.95,0.27,597.49,22.06,199.16,-5.33,3,0.57,0.39,0.07,0.89,0.95,64.59,0.5,0.2,0.42
I,2,2013-07-05 054816_MZ000074-BOBO_LC_WE_40.WAV,616,IN,2013-07-05 054816_MZ000074-BOBO_LC_WE.txt,40,y,65.41025491,66.2001,50,950,2013-07-05 054816_MZ000074-BOBO_LC_WE.WAV,BOBO,0.25,0.13,2.9,13.16,0.85,0.85,0.72,0.24,0.19,0.06,0.37,0.31,2.76,0.32,0.06,-0.33,0.23,0.79,118.42,349.88,4.91,4.08,37.68,231.46,258.38,0.15,0.07,0.35,236.84,274.52,258.38,-0.16,371.41,12.55,75.36,-14.46,7,0.13,0.11,0.07,0.2,0.53,37.68,0.09,0.08,0.3
S,2,2013-07-05 070136_MZ000075-BOBO_LC_WE_25.WAV,616,SI,2013-07-05 070136_MZ000075-BOBO_LC_WE.txt,25,y,40.19612519,40.972,50,950,2013-07-05 070136_MZ000075-BOBO_LC_WE.WAV,BOBO,0.28,0.16,2.09,8.04,0.89,0.85,0.76,0.39,0.21,0.1,0.39,0.29,3.26,0.29,0.39,0.14,0.2,0.78,150.72,344.5,5.25,4.65,48.45,193.78,226.08,0.2,0.13,0.4,204.55,252.99,226.08,-0.26,285.29,10.27,75.36,-13.31,6,0.17,0.15,0.07,0.31,0.59,48.45,0.17,0.01,0.26
R,1,2013-07-05 073402_MZ000076-BOBO_LC_WE_15.WAV,16,HU,2013-07-05 073402_MZ000076-BOBO_LC_WE.txt,15,p,20.20857985,21.02641896,50,1500,2013-07-05 073402_MZ000076-BOBO_LC_WE.WAV,BOBO,0.64,0.32,3.14,16.94,0.93,0.85,0.79,0.61,0.6,0.25,1.43,1.17,2.64,0.25,0.53,0.34,0.49,0.82,242.23,748.21,6.29,5.68,150.72,505.98,516.75,0.82,0.57,0.69,457.54,608.26,489.84,0.14,791.27,20.16,252.99,-19.4,11,0.88,0.16,0.07,0.88,0.95,150.72,0.71,0.21,1.5
R,1,2013-07-05 073402_MZ000076-BOBO_LC_WE_22.WAV,152,HU,2013-07-05 073402_MZ000076-BOBO_LC_WE.txt,22,p,35.22617971,36.10662234,50,1500,2013-07-05 073402_MZ000076-BOBO_LC_WE.WAV,BOBO,0.76,0.32,1.75,6.76,0.95,0.85,0.81,0.64,0.59,0.06,1.11,1.06,5.78,0.21,0.58,0.42,0.79,0.88,231.46,1103.48,7.17,6.14,425.24,872.02,689,0.67,0.54,0.71,436.01,861.25,559.81,0.41,1103.48,57.44,199.16,-38.42,14,0.89,0.23,0.1,0.85,0.92,425.24,0.62,0.22,1.5
