meanfreq,sd,skew,kurt,sp.ent,time.ent,entropy,sfm,meandom,mindom,maxdom,dfrange,modindx,startdom,enddom,dfslope,meanpeakf,Delta.Time.s,Freq.5%.Hz,Freq.95%.Hz,Agg.Entropy.bits,Avg.Entropy.bits,BW.50%.Hz,BW.90%.Hz,Center.Freq.Hz,Center.Time.Rel.,Dur.50%.s,Dur.90%.s,Freq.25%.Hz,Freq.75%.Hz,Peak.Freq.Hz,PFC.Avg.Slope.Hz/ms,PFC.Max.Freq.Hz,PFC.Max.Slope.Hz/ms,PFC.Min.Freq.Hz,PFC.Min.Slope.Hz/ms,PFC.Num.Inf.Pts,Peak.Time.Relative,Time.25%.Rel.,Time.5%.Rel.,Time.75%.Rel.,Time.95%.Rel.,Freq_IQR,Time_IQR,F0_min,F0_max,Pulse.Type,member_V1,member_V2,Typicality(d),Cluster,Typical,Atypical,Cluster_Typical,Cluster_Atypical
0.51,0.22,1.97,7.84,0.92,0.85,0.78,0.51,0.43,0.09,0.95,0.86,5.73,0.2,0.39,0.18,0.33,1.05,220.7,581.34,5.49,4.43,48.45,360.65,344.5,0.85,0.54,0.91,328.35,376.8,344.5,0.12,586.73,6.85,188.4,-14.07,5,0.88,0.38,0.08,0.89,0.95,48.45,0.51,0.2,0.59,HR,0.998753799,0.001246201,0.997507598,1,TRUE,FALSE,1,NA
0.46,0.2,2.48,10.95,0.9,0.85,0.76,0.44,0.36,0.06,0.96,0.9,5.08,0.19,0.33,0.13,0.33,1.08,220.7,516.75,5.18,4.26,37.68,296.06,333.73,0.85,0.64,0.89,317.59,355.27,339.12,0.26,532.9,8.75,59.21,-11.79,6,0.87,0.28,0.09,0.88,0.93,37.68,0.6,0.19,0.53,HR,0.994552924,0.005447076,0.989105847,1,TRUE,FALSE,1,NA
0.51,0.21,1.94,6.25,0.85,0.85,0.73,0.21,0.38,0.07,0.79,0.72,2.36,0.12,0.23,0.09,0.31,1.16,285.29,775.13,5.3,3.38,75.36,489.84,349.88,0.73,0.16,0.45,306.82,382.18,360.65,-0.02,775.13,27.01,263.76,-28.15,5,0.69,0.64,0.43,0.78,0.83,75.36,0.14,0.18,0.42,HR,0.995689797,0.004310203,0.991379595,1,TRUE,FALSE,1,NA
0.49,0.2,4.15,24.67,0.85,0.85,0.73,0.37,0.39,0.22,0.52,0.3,2.79,0.31,0.22,-0.07,0.36,1.21,317.59,516.75,5.19,3.45,69.98,199.16,387.56,0.31,0.45,0.91,349.88,419.86,333.73,-0.05,511.37,14.84,215.31,-20.54,6,0.15,0.19,0.12,0.57,0.88,69.98,0.38,0.22,0.44,HR,0.97150923,0.02849077,0.943018461,1,FALSE,FALSE,NA,NA
0.56,0.22,4.26,27.52,0.87,0.85,0.74,0.4,0.38,0.08,0.83,0.75,4.01,0.08,0.24,0.13,0.36,1.23,231.46,834.34,5.78,3.75,91.51,602.88,414.48,0.59,0.41,0.85,376.8,468.31,419.86,-0.22,753.59,27.39,102.27,-28.91,5,0.55,0.45,0.19,0.79,0.88,91.51,0.34,0.11,0.42,HR,0.999049837,0.000950163,0.998099674,1,TRUE,FALSE,1,NA
0.59,0.13,1.89,6.47,0.88,0.85,0.75,0.3,0.55,0.21,0.78,0.57,2.09,0.21,0.52,0.4,0.55,0.79,296.06,764.36,6.34,4.65,161.48,468.31,565.2,0.41,0.33,0.59,462.92,624.41,565.2,0.42,780.51,13.69,209.93,-22.06,6,0.39,0.35,0.13,0.78,0.91,161.48,0.43,0.22,0.77,HR,0.999595677,0.000404323,0.999191354,1,TRUE,FALSE,1,NA
0.52,0.11,3.84,19.31,0.8,0.85,0.68,0.18,0.44,0.21,0.59,0.38,3.29,0.21,0.31,0.13,0.53,0.73,312.2,586.73,4.65,4.12,48.45,274.52,570.58,0.61,0.08,0.47,532.9,581.34,581.34,0.55,586.73,11.41,199.16,-15.98,2,0.65,0.55,0.2,0.67,0.84,48.45,0.12,0.21,0.58,HR,0.995347713,0.004652287,0.990695426,1,TRUE,FALSE,1,NA
0.57,0.15,1.84,6.48,0.91,0.85,0.77,0.38,0.47,0.07,0.77,0.7,4.25,0.2,0.52,0.35,0.5,0.93,290.67,715.91,6.15,4.62,134.57,425.24,516.75,0.27,0.5,0.71,414.48,549.05,538.28,0.41,828.95,18.26,188.4,-22.82,6,0.25,0.22,0.13,0.77,0.91,134.57,0.55,0.21,0.83,HR,0.99936426,0.00063574,0.998728519,1,TRUE,FALSE,1,NA
0.57,0.12,2,6.44,0.86,0.85,0.73,0.24,0.54,0.22,0.73,0.51,2.45,0.22,0.53,0.32,0.53,0.97,317.59,710.53,6.02,4.03,172.25,392.95,549.05,0.38,0.41,0.65,479.07,651.32,565.2,0.49,721.3,14.46,183.02,-19.78,2,0.37,0.31,0.21,0.74,0.88,172.25,0.43,0.22,0.72,HR,0.999319739,0.000680261,0.998639478,1,TRUE,FALSE,1,NA
0.67,0.21,2.54,8.63,0.86,0.85,0.73,0.32,0.57,0.23,1.22,0.99,3.39,0.29,0.39,0.11,0.66,1,333.73,850.48,6.36,4.48,150.72,516.75,635.17,0.49,0.31,0.62,543.66,694.38,694.38,0.13,1184.22,37.28,236.84,-53.63,5,0.52,0.41,0.25,0.72,0.88,150.72,0.32,0.24,0.72,HR,0.999575062,0.000424938,0.999150125,1,TRUE,FALSE,1,NA
